SCREEN 05: WORLD REPORT — seed1327
=

You are forecasting outcomes for the **Italian Greek** civilization.
Read the world report below, then answer the questions on the following screens.

[EMBED: World report text + territory maps for seed1327]
[Source: human_subjects/worlds/seed1327/world_report/turn_060_report.txt]
[Maps: human_subjects/worlds/seed1327/world_report/turn_060_territory_maps/]

--- BEGIN WORLD REPORT ---

WORLD REPORT TXT v1
Game ID: seed1327
Snapshot turn: 60
Turns analyzed: 1..60
Map size: 78x52

CIVILIZATIONS
ID | Name          | Adjective     | Nation ID
---+---------------+---------------+----------
0  | Italian Greek | Italian Greek | 238      
1  | Illyrian      | Illyrian      | 225      
2  | Egyptian      | Egyptian      | 149      
3  | Numidian      | Numidian      | 361      
4  | Slavic        | Slavic        | 454      
5  | Pirate        | Pirate        | 559      
6  | Barbarian     | Barbarian     | 558      
7  | Roman         | Roman         | 407      
8  | Carthaginian  | Carthaginian  | 90       
9  | Liburnian     | Liburnian     | 280      

CURRENT STATE (TURN 60)
ID | Name          | Score | Rank | Government | Treasury | Population | Techs | Wonders | Cities | Territory | Units | Military | Science | Trade | Food | Shields
---+---------------+-------+------+------------+----------+------------+-------+---------+--------+-----------+-------+----------+---------+-------+------+--------
0  | Italian Greek | 39    | NA   | Despotism  | 544.0    | 22.0       | 9     | 1       | 14     | 178       | 4     | 0        | 60      | 22.0  | 44.0 | 31.0   
1  | Illyrian      | 44    | NA   | Despotism  | 404.0    | 1.0        | 11    | 0       | 1      | 28        | 0     | 0        | 60      | 30.0  | 60.0 | 36.0   
2  | Egyptian      | 42    | NA   | Despotism  | 343.0    | 0.0        | 10    | 0       | 0      | 0         | 0     | 0        | 60      | 35.0  | 70.0 | 41.0   
3  | Numidian      | -1    | NA   | Anarchy    | 0.0      | 0.0        | 9     | 0       | 0      | 0         | 0     | 0        | 60      | 39.0  | 78.0 | 33.0   
4  | Slavic        | -1    | NA   | Anarchy    | 0.0      | 3.0        | 10    | 0       | 2      | 43        | 0     | 0        | 80      | 35.0  | 70.0 | 29.0   
5  | Pirate        | NA    | NA   | NA         | None     | None       | None  | None    | None   | None      | None  | None     | None    | None  | None | None   
6  | Barbarian     | NA    | NA   | NA         | None     | None       | None  | None    | None   | None      | None  | None     | None    | None  | None | None   
7  | Roman         | NA    | NA   | NA         | None     | None       | None  | None    | None   | None      | None  | None     | None    | None  | None | None   
8  | Carthaginian  | NA    | NA   | NA         | None     | None       | None  | None    | None   | None      | None  | None     | None    | None  | None | None   
9  | Liburnian     | NA    | NA   | NA         | None     | None       | None  | None    | None   | None      | None  | None     | None    | None  | None | None   

GOVERNMENT TIMELINE (derived from recordings)
Each entry is a change point (turn number -> new government); the first entry is the first observed government.
0 Italian Greek: 1 Despotism
1 Illyrian: 1 Anarchy; 18 Despotism; 40 Anarchy; 52 Despotism
2 Egyptian: 1 Anarchy; 54 Despotism
3 Numidian: 1 Anarchy
4 Slavic: 1 Anarchy; 30 Despotism; 53 Anarchy
5 Pirate: NA (no changes observed)
6 Barbarian: NA (no changes observed)
7 Roman: NA (no changes observed)
8 Carthaginian: NA (no changes observed)
9 Liburnian: NA (no changes observed)

TREASURY (sampled every 5 turns)
turns: 1, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60
6 Barbarian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
7 Roman: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
8 Carthaginian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
9 Liburnian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA

WONDERS DISCOVERED (sampled every 5 turns)
turns: 1, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60
0 Italian Greek: 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1 Illyrian: 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2 Egyptian: 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3 Numidian: 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4 Slavic: 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5 Pirate: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
6 Barbarian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
7 Roman: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
8 Carthaginian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
9 Liburnian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA

CITIES COUNT (sampled every 5 turns)
turns: 1, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60
0 Italian Greek: 0, 2, 2, 2, 3, 4, 5, 5, 7, 8, 10, 13, 14
1 Illyrian: 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1
2 Egyptian: 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3 Numidian: 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4 Slavic: 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2
5 Pirate: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
6 Barbarian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
7 Roman: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
8 Carthaginian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
9 Liburnian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA

TERRITORY SIZE (sampled every 5 turns)
turns: 1, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60
0 Italian Greek: 0, 47, 50, 51, 61, 64, 77, 77, 102, 121, 133, 168, 178
1 Illyrian: 0, 0, 0, 0, 27, 28, 28, 28, 28, 28, 28, 28, 28
2 Egyptian: 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3 Numidian: 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4 Slavic: 0, 0, 0, 0, 0, 0, 13, 40, 43, 43, 43, 43, 43
5 Pirate: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
6 Barbarian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
7 Roman: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
8 Carthaginian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
9 Liburnian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA

SCIENCE (sampled every 5 turns)
turns: 1, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60
0 Italian Greek: 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60
1 Illyrian: 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60
2 Egyptian: 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60
3 Numidian: 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60
4 Slavic: 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 80
5 Pirate: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
6 Barbarian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
7 Roman: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
8 Carthaginian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
9 Liburnian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA

TRADE PRODUCTION (sampled every 5 turns)
turns: 1, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60
0 Italian Greek: 0.0, 2.0, 2.0, 3.0, 3.0, 6.0, 8.0, 8.0, 11.0, 13.0, 16.0, 20.0, 22.0
1 Illyrian: 0.0, 5.0, 5.0, 7.0, 7.0, 10.0, 12.0, 14.0, 16.0, 18.0, 21.0, 25.0, 30.0
2 Egyptian: 0.0, 8.0, 10.0, 10.0, 13.0, 13.0, 17.0, 20.0, 21.0, 23.0, 30.0, 29.0, 35.0
3 Numidian: 0.0, 11.0, 11.0, 15.0, 13.0, 17.0, 21.0, 22.0, 22.0, 27.0, 30.0, 36.0, 39.0
4 Slavic: 0.0, 10.0, 10.0, 15.0, 12.0, 13.0, 18.0, 20.0, 22.0, 28.0, 27.0, 31.0, 35.0
5 Pirate: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
6 Barbarian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
7 Roman: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
8 Carthaginian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
9 Liburnian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA

FOOD PRODUCTION (sampled every 5 turns)
turns: 1, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60
0 Italian Greek: 0.0, 4.0, 4.0, 6.0, 6.0, 12.0, 16.0, 16.0, 22.0, 26.0, 32.0, 40.0, 44.0
1 Illyrian: 0.0, 10.0, 10.0, 14.0, 14.0, 20.0, 24.0, 28.0, 32.0, 36.0, 42.0, 50.0, 60.0
2 Egyptian: 0.0, 16.0, 20.0, 20.0, 26.0, 26.0, 34.0, 40.0, 42.0, 46.0, 60.0, 58.0, 70.0
3 Numidian: 0.0, 22.0, 22.0, 30.0, 26.0, 34.0, 42.0, 44.0, 44.0, 54.0, 60.0, 72.0, 78.0
4 Slavic: 0.0, 20.0, 20.0, 30.0, 24.0, 26.0, 36.0, 40.0, 44.0, 56.0, 54.0, 62.0, 70.0
5 Pirate: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
6 Barbarian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
7 Roman: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
8 Carthaginian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
9 Liburnian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA

SHIELD PRODUCTION (sampled every 5 turns)
turns: 1, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60
0 Italian Greek: 0.0, 5.0, 5.0, 6.0, 9.0, 11.0, 12.0, 12.0, 18.0, 20.0, 28.0, 30.0, 31.0
1 Illyrian: 0.0, 5.0, 5.0, 8.0, 7.0, 12.0, 14.0, 16.0, 22.0, 25.0, 28.0, 31.0, 36.0
2 Egyptian: 0.0, 7.0, 8.0, 10.0, 10.0, 15.0, 16.0, 20.0, 21.0, 23.0, 32.0, 40.0, 41.0
3 Numidian: 0.0, 5.0, 5.0, 6.0, 8.0, 8.0, 12.0, 11.0, 18.0, 18.0, 27.0, 26.0, 33.0
4 Slavic: 0.0, 5.0, 5.0, 7.0, 8.0, 8.0, 10.0, 12.0, 14.0, 17.0, 21.0, 22.0, 29.0
5 Pirate: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
6 Barbarian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
7 Roman: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
8 Carthaginian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
9 Liburnian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA

UNITS COUNT (sampled every 5 turns)
turns: 1, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60
0 Italian Greek: 5, 3, 3, 4, 4, 3, 3, 5, 4, 4, 6, 3, 4
1 Illyrian: 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2 Egyptian: 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3 Numidian: 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4 Slavic: 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5 Pirate: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
6 Barbarian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
7 Roman: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
8 Carthaginian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
9 Liburnian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA

MILITARY UNITS COUNT (sampled every 5 turns)
turns: 1, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60
0 Italian Greek: 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1 Illyrian: 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2 Egyptian: 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3 Numidian: 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4 Slavic: 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5 Pirate: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
6 Barbarian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
7 Roman: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
8 Carthaginian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
9 Liburnian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA

SCORES (derived from recordings)
turns: 1, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60
0 Italian Greek: 0, 4, 4, 5, 7, 12, 14, 16, 19, 25, 29, 33, 39
1 Illyrian: -1, -1, -1, -1, 7, 13, 14, 16, -1, -1, -1, 38, 44
2 Egyptian: -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 40, 42
3 Numidian: -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
4 Slavic: -1, -1, -1, -1, -1, -1, 12, 16, 20, 22, 27, -1, -1
5 Pirate: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
6 Barbarian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
7 Roman: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
8 Carthaginian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
9 Liburnian: NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA

RANKINGS (derived from scores)
Turn 1: 1=Italian Greek(0), 2=Illyrian(-1), 3=Egyptian(-1), 4=Numidian(-1), 5=Slavic(-1)
Turn 5: 1=Italian Greek(4), 2=Illyrian(-1), 3=Egyptian(-1), 4=Numidian(-1), 5=Slavic(-1)
Turn 10: 1=Italian Greek(4), 2=Illyrian(-1), 3=Egyptian(-1), 4=Numidian(-1), 5=Slavic(-1)
Turn 15: 1=Italian Greek(5), 2=Illyrian(-1), 3=Egyptian(-1), 4=Numidian(-1), 5=Slavic(-1)
Turn 20: 1=Italian Greek(7), 2=Illyrian(7), 3=Egyptian(-1), 4=Numidian(-1), 5=Slavic(-1)
Turn 25: 1=Illyrian(13), 2=Italian Greek(12), 3=Egyptian(-1), 4=Numidian(-1), 5=Slavic(-1)
Turn 30: 1=Italian Greek(14), 2=Illyrian(14), 3=Slavic(12), 4=Egyptian(-1), 5=Numidian(-1)
Turn 35: 1=Italian Greek(16), 2=Illyrian(16), 3=Slavic(16), 4=Egyptian(-1), 5=Numidian(-1)
Turn 40: 1=Slavic(20), 2=Italian Greek(19), 3=Illyrian(-1), 4=Egyptian(-1), 5=Numidian(-1)
Turn 45: 1=Italian Greek(25), 2=Slavic(22), 3=Illyrian(-1), 4=Egyptian(-1), 5=Numidian(-1)
Turn 50: 1=Italian Greek(29), 2=Slavic(27), 3=Illyrian(-1), 4=Egyptian(-1), 5=Numidian(-1)
Turn 55: 1=Egyptian(40), 2=Illyrian(38), 3=Italian Greek(33), 4=Numidian(-1), 5=Slavic(-1)
Turn 60: 1=Illyrian(44), 2=Egyptian(42), 3=Italian Greek(39), 4=Numidian(-1), 5=Slavic(-1)

EVENT TYPES (exhaustive)
city_founded, city_conquered, city_destroyed, government_change, diplomatic_change, tech_discovered, wonder_completed
If a type does not appear in EVENTS, it did not occur in the analyzed turns.

EVENTS (chronological)
Turn | Type | Civ | Description | Metadata
--------------------------------------------------------------------------------
1 | tech_discovered | Italian Greek | Italian Greek discovered Tech #0 | tech_id=0, tech_name=Tech #0
1 | tech_discovered | Illyrian | Illyrian discovered Tech #0 | tech_id=0, tech_name=Tech #0
1 | tech_discovered | Egyptian | Egyptian discovered Tech #0 | tech_id=0, tech_name=Tech #0
1 | tech_discovered | Numidian | Numidian discovered Tech #0 | tech_id=0, tech_name=Tech #0
1 | tech_discovered | Slavic | Slavic discovered Tech #0 | tech_id=0, tech_name=Tech #0
2 | wonder_completed | Illyrian | Illyrian completed Palace in Scodra | wonder_id=21, wonder_name=Palace, city_name=Scodra
2 | wonder_completed | Egyptian | Egyptian completed Palace in Waset | wonder_id=21, wonder_name=Palace, city_name=Waset
2 | wonder_completed | Numidian | Numidian completed Palace in Cirta | wonder_id=21, wonder_name=Palace, city_name=Cirta
2 | tech_discovered | Italian Greek | Italian Greek discovered Bronze Working | tech_id=9, tech_name=Bronze Working
3 | city_founded | Italian Greek | Syrakousai founded by Italian Greek | city_id=130, city_name=Syrakousai
3 | wonder_completed | Italian Greek | Italian Greek completed Palace in Syrakousai | wonder_id=21, wonder_name=Palace, city_name=Syrakousai
3 | tech_discovered | Numidian | Numidian discovered Masonry | tech_id=46, tech_name=Masonry
4 | city_founded | Italian Greek | Neapolis founded by Italian Greek | city_id=132, city_name=Neapolis
4 | wonder_completed | Slavic | Slavic completed Palace in Pinĭskŭ | wonder_id=21, wonder_name=Palace, city_name=Pinĭskŭ
5 | tech_discovered | Egyptian | Egyptian discovered Masonry | tech_id=46, tech_name=Masonry
7 | tech_discovered | Illyrian | Illyrian discovered Masonry | tech_id=46, tech_name=Masonry
7 | tech_discovered | Numidian | Numidian discovered Alphabet | tech_id=2, tech_name=Alphabet
11 | tech_discovered | Slavic | Slavic discovered Masonry | tech_id=46, tech_name=Masonry
13 | tech_discovered | Egyptian | Egyptian discovered Bronze Working | tech_id=9, tech_name=Bronze Working
15 | tech_discovered | Numidian | Numidian discovered Horseback Riding | tech_id=35, tech_name=Horseback Riding
16 | tech_discovered | Illyrian | Illyrian discovered Alphabet | tech_id=2, tech_name=Alphabet
17 | tech_discovered | Italian Greek | Italian Greek discovered Masonry | tech_id=46, tech_name=Masonry
17 | tech_discovered | Slavic | Slavic discovered Alphabet | tech_id=2, tech_name=Alphabet
18 | city_founded | Italian Greek | Akragas founded by Italian Greek | city_id=146, city_name=Akragas
18 | government_change | Illyrian | Illyrian changed government from Anarchy to Despotism | from=Anarchy, to=Despotism
19 | city_founded | Illyrian | Lyssos founded by Illyrian | city_id=142, city_name=Lyssos
19 | tech_discovered | Egyptian | Egyptian discovered Horseback Riding | tech_id=35, tech_name=Horseback Riding
21 | city_founded | Italian Greek | Sybaris founded by Italian Greek | city_id=150, city_name=Sybaris
24 | tech_discovered | Italian Greek | Italian Greek discovered Alphabet | tech_id=2, tech_name=Alphabet
24 | tech_discovered | Illyrian | Illyrian discovered Horseback Riding | tech_id=35, tech_name=Horseback Riding
24 | tech_discovered | Egyptian | Egyptian discovered Alphabet | tech_id=2, tech_name=Alphabet
26 | tech_discovered | Slavic | Slavic discovered Code of Laws | tech_id=13, tech_name=Code of Laws
27 | tech_discovered | Numidian | Numidian discovered Warrior Code | tech_id=86, tech_name=Warrior Code
29 | city_founded | Italian Greek | Taras founded by Italian Greek | city_id=163, city_name=Taras
30 | city_founded | Slavic | Berstĭ founded by Slavic | city_id=156, city_name=Berstĭ
30 | government_change | Slavic | Slavic changed government from Anarchy to Despotism | from=Anarchy, to=Despotism
31 | city_founded | Slavic | Měnĭskŭ founded by Slavic | city_id=135, city_name=Měnĭskŭ
31 | tech_discovered | Egyptian | Egyptian discovered Warrior Code | tech_id=86, tech_name=Warrior Code
33 | tech_discovered | Italian Greek | Italian Greek discovered Code of Laws | tech_id=13, tech_name=Code of Laws
33 | tech_discovered | Illyrian | Illyrian discovered Warrior Code | tech_id=86, tech_name=Warrior Code
33 | tech_discovered | Slavic | Slavic discovered Writing | tech_id=87, tech_name=Writing
34 | tech_discovered | Numidian | Numidian discovered Pottery | tech_id=63, tech_name=Pottery
36 | tech_discovered | Slavic | Slavic discovered Horseback Riding | tech_id=35, tech_name=Horseback Riding
37 | city_founded | Italian Greek | Region founded by Italian Greek | city_id=181, city_name=Region
39 | city_founded | Italian Greek | Kroton founded by Italian Greek | city_id=186, city_name=Kroton
40 | government_change | Illyrian | Illyrian changed government from Despotism to Anarchy | from=Despotism, to=Anarchy
